Focal species,Partner species,Medium,log10 ratio,log10 ratio std,T-test pvalue,Corrected pvalue,log10 pval,log10 adj. pval,Significance annot,Fresh
Ml,At,Ct_malate,0.19059475339763043,0.12079896733592993,0.08125670179257194,0.14688711477888003,-1.0901408096536656,-0.8330162996887662,,Spent
At,Oa,Ct_malate,-0.5597914827575448,0.3062014725120417,0.07253816230000183,0.1413745768072666,-1.1394334511415534,-0.8496286820880196,,Spent
Oa,At,Ct_malate,-0.720969949681832,0.25751082186847885,0.03527096290548128,0.08086513446622538,-1.452582683830418,-1.0922386869504548,,Spent
Ml,Oa,Ct_malate,0.02469512962442888,0.05795951863756452,0.6441806144522428,0.7041043925408236,-0.19099234869219953,-0.15236294633606856,,Spent
Oa,Ml,Ct_malate,-0.5751463617021368,0.1994231143762977,0.09554239912296755,0.1632906457737991,-1.019803857538907,-0.7870386934334522,,Spent
At,Ct,Ml_malate,-1.4862056459382753,0.29863068335659093,0.012963018656160848,0.04288315121621815,-1.8872938539392625,-1.3677133085407933,*,Spent
Ct,At,Ml_malate,0.01914004353079335,0.04928322729450161,0.5657845588376484,0.6647968566342369,-0.24734890930587758,-0.1773110426981225,,Spent
At,Oa,Ml_malate,-0.6401196465803931,0.32359859684660874,0.04917660243915342,0.10505910521091867,-1.3082414795195925,-0.9785663024060812,,Spent
Oa,At,Ml_malate,-0.09247037102577238,0.19045605397373766,0.48567123542401097,0.5778872927830003,-0.31365761747931326,-0.23815685517005608,,Spent
Ct,Oa,Ml_malate,0.03383610858858965,0.10399745238549575,0.6121802615009136,0.6862568381956049,-0.2131206774492873,-0.16351331499967153,,Spent
Oa,Ct,Ml_malate,-0.9106682393182606,0.220484859072325,0.017406100690005356,0.04958101408668192,-1.759298508519815,-1.304684594798004,*,Spent
At,Ct,Oa_malate,-1.7202773970989416,,,,,,,Spent
Ct,At,Oa_malate,0.323453158039797,0.08921611571576848,0.024105677613644405,0.06613102092988042,-1.6178806559366095,-1.1795947726114429,,Spent
At,Ml,Oa_malate,-1.0758435805732738,,,,,,,Spent
Ml,At,Oa_malate,0.20595141950373197,0.15079490252690678,0.08995918468676102,0.15659561778806547,-1.0459544892929336,-0.8052203955162035,,Spent
Ct,Ml,Oa_malate,-0.09324627774088601,0.2803584393254495,0.6132507915790512,0.6862568381956049,-0.21236188253748856,-0.16351331499967153,,Spent
Ml,Ct,Oa_malate,-0.35315570628745263,0.14298222138704833,0.024623252473891643,0.06613102092988042,-1.608654581860866,-1.1795947726114429,,Spent
At,Ct,M9_malate,-1.4872510114737096,0.19064898430423619,6.0403302231897045e-06,9.463184016330538e-05,-5.218939317970125,-4.02396271475407,***,Fresh
Ct,At,M9_malate,0.10638516125509234,0.09777222635627406,0.07369525812293684,0.1413745768072666,-1.1325604556592046,-0.8496286820880196,,Fresh
At,Ml,M9_malate,-0.00933724505667044,0.1808179152546778,0.9211435360614881,0.9411683955410858,-0.03567269112517156,-0.026332664871028137,,Fresh
Ml,At,M9_malate,2.1340040814709758,0.2987862641796666,0.0007939731112186357,0.00497556483030345,-3.100194205188908,-2.3031576106448908,**,Fresh
At,Oa,M9_malate,-0.10405036571048143,0.23550291043419905,0.4180751498332227,0.5310684335719316,-0.378745645917759,-0.2748495120490365,,Fresh
Oa,At,M9_malate,1.095482805526471,0.3465167935229294,0.0007467945912155217,0.00497556483030345,-3.126798836161844,-2.3031576106448908,**,Fresh
Ct,Ml,M9_malate,-0.010973445258249725,0.1561261249091208,0.894800798054981,0.9246344440054849,-0.048273637236650714,-0.03402993248252093,,Fresh
Ml,Ct,M9_malate,1.9624088622139757,0.26052514973823376,0.004191171687829632,0.017907733575272065,-2.3776645482929055,-1.7469593755154131,*,Fresh
Ct,Oa,M9_malate,0.02714815848068497,0.09771874778398634,0.5990811771548139,0.6862568381956049,-0.22251432552099976,-0.16351331499967153,,Fresh
Oa,Ct,M9_malate,0.131364042042037,0.3213415079109061,0.4466720077316097,0.5452879055424845,-0.3500112632626967,-0.26337413483547994,,Fresh
Ml,Oa,M9_malate,0.48663636546598976,0.37358453140092196,0.06338985474323912,0.12953579012748864,-1.197980243405213,-0.8876102214870882,,Fresh
Oa,Ml,M9_malate,0.12966438300930072,0.3249685665496372,0.4566929145914764,0.5503735124563947,-0.34037572624650086,-0.25934247533728255,,Fresh
At,Oa,M9_malate+thiamine,-0.33886746739483087,0.2004679137890277,0.03329436286687204,0.0796746710155911,-1.4776292915102636,-1.0986797210943726,,Fresh
Oa,At,M9_malate+thiamine,-0.04482955917979403,0.16543693797833842,0.6238600520485589,0.6899158222654651,-0.20491282288113966,-0.16120389499573373,,Fresh
