,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD
595,F11,2,48000000.0,Ml,At+Ml,Oa_mannose,0.001
596,F12,2,7800000.0,Ml,Ct+Ml,Oa_mannose,0.001
603,G7,2,14000.0,Ml,Ml,No_CS,0.001
605,G9,2,8000.0,Ml,Ml,No_CS,0.001
615,H7,2,6200000.0,Ml,Ml,Ml_mannose,0.001
616,H8,2,6000000.0,Ml,Ml,Ml_mannose,0.001
617,H9,2,6400000.0,Ml,Ml,Ml_mannose,0.001
621,Inoculum,0,487660.4146100691,Oa,,,0.001
622,Inoculum,0,256663.3761105627,Oa,,,0.001
623,Inoculum,0,179664.3632773939,Oa,,,0.001
624,Inoculum,0,256663.3761105627,Oa,,,0.001
627,A3,2,500000000.0,Oa,Oa,At_mannose,0.001
629,A5,2,140000000.0,Oa,Ct+Oa,At_mannose,0.001
630,A6,2,100000000.0,Oa,Ml+Oa,At_mannose,0.001
633,A9,2,2200000000.0,Oa,Oa,Ml_mannose,0.001
635,A11,2,740000000.0,Oa,At+Oa,Ml_mannose,0.001
636,A12,2,340000000.0,Oa,Ct+Oa,Ml_mannose,0.001
639,B3,2,380000000.0,Oa,Oa,At_mannose,0.001
641,B5,2,260000000.0,Oa,Ct+Oa,At_mannose,0.001
642,B6,2,160000000.0,Oa,Ml+Oa,At_mannose,0.001
645,B9,2,1400000000.0,Oa,Oa,Ml_mannose,0.001
647,B11,2,520000000.0,Oa,At+Oa,Ml_mannose,0.001
648,B12,2,440000000.0,Oa,Ct+Oa,Ml_mannose,0.001
650,C3,2,300000000.0,Oa,Oa,At_mannose,0.001
652,C5,2,120000000.0,Oa,Ct+Oa,At_mannose,0.001
653,C6,2,180000000.0,Oa,Ml+Oa,At_mannose,0.001
656,C9,2,1200000000.0,Oa,Oa,Ml_mannose,0.001
658,C11,2,660000000.0,Oa,At+Oa,Ml_mannose,0.001
659,C12,2,440000000.0,Oa,Ct+Oa,Ml_mannose,0.001
662,D3,2,400000000.0,Oa,Oa,Ct_isoleucine,0.001
664,D5,2,100000000.0,Oa,At+Oa,Ct_isoleucine,0.001
665,D6,2,400000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001
674,E3,2,500000000.0,Oa,Oa,Ct_isoleucine,0.001
676,E5,2,220000000.0,Oa,At+Oa,Ct_isoleucine,0.001
677,E6,2,260000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001
705,G10,2,10000000.0,Oa,Oa,No_CS,0.001
706,G11,2,16000000.0,Oa,Oa,No_CS,0.001
707,G12,2,6000000.0,Oa,Oa,No_CS,0.001
717,H10,2,220000000.0,Oa,Oa,Oa_mannose,0.001
718,H11,2,160000000.0,Oa,Oa,Oa_mannose,0.001
719,H12,2,300000000.0,Oa,Oa,Oa_mannose,0.001
