Sample ID,Medium no. ,Medium,OD600,Hours
15A,15,Δpro,1.863,72.5
15B,15,Δpro,1.904,72.5
16A,16,Δser,1.472,72.5
16B,16,Δser,1.483,72.5
17A,17,Δthr,1.599,72.5
17B,17,Δthr,1.559,72.5
18A,18,Δtrp,1.558,72.5
18B,18,Δtrp,1.517,72.5
19A,19,Δtyr,1.513,72.5
19B,19,Δtyr,1.474,72.5
20A,20,Δval,1.478,72.5
20B,20,Δval,1.458,72.5
21A,21,all AA,1.567,72.5
21B,21,all AA,1.487,72.5
22A,22,No AA,0.006,72.5
22B,22,No AA,0.003,72.5
1A,1,Δala,,95.0
1B,1,Δala,,95.0
2A,2,Δarg,,95.0
2B,2,Δarg,,95.0
3A,3,Δasn,,95.0
3B,3,Δasn,,95.0
4A,4,Δasp,,95.0
4B,4,Δasp,,95.0
5A,5,Δcys,2.065,95.0
5B,5,Δcys,2.047,95.0
6A,6,Δglu,,95.0
6B,6,Δglu,,95.0
7A,7,Δgln,,95.0
7B,7,Δgln,,95.0
8A,8,Δgly,,95.0
8B,8,Δgly,,95.0
9A,9,Δhis,,95.0
9B,9,Δhis,,95.0
10A,10,Δile,,95.0
10B,10,Δile,,95.0
11A,11,Δleu,,95.0
11B,11,Δleu,,95.0
12A,12,Δlys,,95.0
12B,12,Δlys,,95.0
13A,13,Δmet,,95.0
13B,13,Δmet,,95.0
14A,14,Δphe,,95.0
14B,14,Δphe,,95.0
15A,15,Δpro,2.029,95.0
15B,15,Δpro,1.884,95.0
16A,16,Δser,,95.0
16B,16,Δser,,95.0
17A,17,Δthr,,95.0
17B,17,Δthr,,95.0
18A,18,Δtrp,,95.0
18B,18,Δtrp,,95.0
19A,19,Δtyr,,95.0
19B,19,Δtyr,,95.0
20A,20,Δval,,95.0
20B,20,Δval,,95.0
21A,21,all AA,1.568,95.0
21B,21,all AA,1.617,95.0
22A,22,No AA,0.005,95.0
22B,22,No AA,0.006,95.0
1A,1,Δala,1.541,114.0
1B,1,Δala,1.704,114.0
2A,2,Δarg,1.863,114.0
2B,2,Δarg,1.769,114.0
3A,3,Δasn,1.51,114.0
3B,3,Δasn,1.397,114.0
4A,4,Δasp,1.452,114.0
4B,4,Δasp,1.543,114.0
5A,5,Δcys,2.181,114.0
5B,5,Δcys,2.252,114.0
6A,6,Δglu,1.548,114.0
6B,6,Δglu,1.595,114.0
7A,7,Δgln,1.422,114.0
7B,7,Δgln,1.445,114.0
8A,8,Δgly,1.51,114.0
8B,8,Δgly,1.465,114.0
9A,9,Δhis,1.545,114.0
9B,9,Δhis,1.584,114.0
10A,10,Δile,1.259,114.0
10B,10,Δile,1.252,114.0
11A,11,Δleu,1.366,114.0
11B,11,Δleu,1.357,114.0
12A,12,Δlys,1.255,114.0
12B,12,Δlys,1.228,114.0
13A,13,Δmet,1.451,114.0
13B,13,Δmet,1.444,114.0
14A,14,Δphe,1.573,114.0
14B,14,Δphe,1.543,114.0
15A,15,Δpro,1.812,114.0
15B,15,Δpro,1.841,114.0
16A,16,Δser,1.435,114.0
16B,16,Δser,1.748,114.0
17A,17,Δthr,1.611,114.0
17B,17,Δthr,1.529,114.0
18A,18,Δtrp,1.591,114.0
18B,18,Δtrp,1.64,114.0
19A,19,Δtyr,1.581,114.0
19B,19,Δtyr,1.593,114.0
20A,20,Δval,1.472,114.0
20B,20,Δval,1.56,114.0
21A,21,all AA,1.6,114.0
21B,21,all AA,1.504,114.0
22A,22,No AA,0.008,114.0
22B,22,No AA,0.003,114.0
