,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
271,B5,2,168000000.0,Oa,Ct+Oa,At_mannose
272,B6,2,380000000.0,Oa,Ml+Oa,At_mannose
273,B8,2,,Oa,Ct,Ml_mannose
274,B10,2,,Oa,At+Ct,Ml_mannose
275,C1,2,,Oa,Ct,At_mannose
276,C2,2,,Oa,Ml,At_mannose
277,C3,2,340000000.0,Oa,Oa,At_mannose
278,C4,2,,Oa,Ct+Ml,At_mannose
279,C5,2,178000000.0,Oa,Ct+Oa,At_mannose
280,C6,2,180000000.0,Oa,Ml+Oa,At_mannose
281,C8,2,,Oa,Ct,Ml_mannose
282,C9,2,920000000.0,Oa,Oa,Ml_mannose
283,C11,2,920000000.0,Oa,At+Oa,Ml_mannose
284,D1,2,,Oa,At,Ct_isoleucine
285,D2,2,,Oa,Ml,Ct_isoleucine
286,D3,2,380000000.0,Oa,Oa,Ct_isoleucine
287,D4,2,,Oa,At+Ml,Ct_isoleucine
288,D5,2,460000000.0,Oa,At+Oa,Ct_isoleucine
289,D6,2,380000000.0,Oa,Ml+Oa,Ct_isoleucine
290,D8,2,,Oa,Ct,Oa_mannose
291,D11,2,,Oa,At+Ml,Oa_mannose
292,D12,2,,Oa,Ct+Ml,Oa_mannose
293,E2,2,,Oa,Ml,Ct_isoleucine
294,E3,2,700000000.0,Oa,Oa,Ct_isoleucine
295,E4,2,,Oa,At+Ml,Ct_isoleucine
296,E6,2,460000000.0,Oa,Ml+Oa,Ct_isoleucine
297,E11,2,,Oa,At+Ml,Oa_mannose
298,F2,2,,Oa,Ml,Ct_isoleucine
299,F3,2,600000000.0,Oa,Oa,Ct_isoleucine
300,F4,2,,Oa,At+Ml,Ct_isoleucine
301,F6,2,500000000.0,Oa,Ml+Oa,Ct_isoleucine
302,F11,2,,Oa,At+Ml,Oa_mannose
303,G1,2,,Oa,At,No_CS
304,G2,2,,Oa,At,No_CS
305,G3,2,,Oa,At,No_CS
306,G4,2,,Oa,Ct,No_CS
307,G5,2,,Oa,Ct,No_CS
308,G6,2,,Oa,Ct,No_CS
309,G7,2,,Oa,Ml,No_CS
310,G8,2,,Oa,Ml,No_CS
311,G9,2,,Oa,Ml,No_CS
312,G10,2,32000000.0,Oa,Oa,No_CS
313,G11,2,32000000.0,Oa,Oa,No_CS
314,G12,2,32000000.0,Oa,Oa,No_CS
315,H3,2,,Oa,At,At_mannose
316,H4,2,,Oa,Ct,Ct_isoleucine
317,H5,2,,Oa,Ct,Ct_isoleucine
318,H6,2,,Oa,Ct,Ct_isoleucine
319,H7,2,,Oa,Ml,Ml_mannose
320,H8,2,,Oa,Ml,Ml_mannose
321,H9,2,,Oa,Ml,Ml_mannose
322,H11,2,132000000.0,Oa,Oa,Oa_mannose
323,H12,2,112000000.0,Oa,Oa,Oa_mannose
324,Inoculum,0,852491.3665515541,At,,
325,Inoculum,0,825851.011346818,At,,
326,Inoculum,0,745929.9457326098,At,,
