,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD,spent,Base carbon source,Short name,Background,Partner
166,D12,2,6800000.0,Ml,Ct+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ct),Oa,Ct
167,E2,2,42000000.0,Ml,Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
168,E4,2,86000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
169,E6,2,140000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
170,E9,2,30000000.0,Ml,Ml,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
171,E11,2,56000000.0,Ml,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
172,E12,2,8400000.0,Ml,Ct+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ct),Oa,Ct
173,F2,2,40000000.0,Ml,Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
174,F4,2,96000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
175,F6,2,220000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
176,F9,2,24000000.0,Ml,Ml,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
177,F11,2,48000000.0,Ml,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
178,F12,2,7800000.0,Ml,Ct+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ct),Oa,Ct
179,G7,2,14000.0,Ml,Ml,No CS,0.001,True,No CS,No CS,No CS,No partner
180,G9,2,8000.0,Ml,Ml,No CS,0.001,True,No CS,No CS,No CS,No partner
181,H7,2,6200000.0,Ml,Ml,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
182,H8,2,6000000.0,Ml,Ml,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
183,H9,2,6400000.0,Ml,Ml,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
184,A3,2,500000000.0,Oa,Oa,At_mannose,0.001,True,Mannose,At,At,No partner
185,A5,2,140000000.0,Oa,Ct+Oa,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
186,A6,2,100000000.0,Oa,Ml+Oa,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
187,A9,2,2200000000.0,Oa,Oa,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
188,A11,2,740000000.0,Oa,At+Oa,Ml_mannose,0.001,True,Mannose,Ml (At),Ml,At
189,A12,2,340000000.0,Oa,Ct+Oa,Ml_mannose,0.001,True,Mannose,Ml (Ct),Ml,Ct
190,B3,2,380000000.0,Oa,Oa,At_mannose,0.001,True,Mannose,At,At,No partner
191,B5,2,260000000.0,Oa,Ct+Oa,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
192,B6,2,160000000.0,Oa,Ml+Oa,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
193,B9,2,1400000000.0,Oa,Oa,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
194,B11,2,520000000.0,Oa,At+Oa,Ml_mannose,0.001,True,Mannose,Ml (At),Ml,At
195,B12,2,440000000.0,Oa,Ct+Oa,Ml_mannose,0.001,True,Mannose,Ml (Ct),Ml,Ct
196,C3,2,300000000.0,Oa,Oa,At_mannose,0.001,True,Mannose,At,At,No partner
197,C5,2,120000000.0,Oa,Ct+Oa,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
198,C6,2,180000000.0,Oa,Ml+Oa,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
